Species_Abv,Common Species Name,Species ,ACQ #,Source,Date Admitted,Date Released,Details of rescue,Disposition,Diagnosis,Survive 
EASO,,,43-92-035,,12/21/1992,2/9/1993,S COLLISION,RELEASED,,
BAEA,,,44-92-036,,12/22/1992,10/18/1993,GUNSHOT,RELEASED,,
RTHA,,,45-92-037,,12/22/1992,9/12/1993,S COLLISION,RELEASED,,
BDOW,,,46-92-038,,12/23/1992,12/23/1992,COLLISION,EUTHANIZED,,
RSHA,,,47-92-039,,12/25/1992,12/30/1992,S COLLISION,DIED,,
BAEA,,,48-92-040,,12/31/1992,12/7/1993,UNKNOWN,RELEASED,,
EASO,,,49-92-041,,12/31/1992,1/3/1993,S COLLISION,DIED,,
RTHA,,,50-93-001,,1/9/1993,9/12/1993,UNKNOWN,RELEASED,,
RTHA,,,51-93-002,,1/25/1993,6/19/1993,HBC,RELEASED,,
GHOW,,,52-93-003,,1/26/1993,1/26/1993,UNKNOWN,DIED,,
RTHA,,,53-93-004,,2/4/1993,9/12/1993,S COLLISION,RELEASED,,
GHOW,,,54-93-005,,2/6/1993,3/22/1997,HBC,NR/EUTHANIZED,,
COHA,,,55-93-006,,2/8/1993,2/11/1993,S COLLISION,DIED,,
RTHA,,,56-93-007,,2/11/1993,6/19/1993,EMACIATION,RELEASED,,
RSHA,,,57-93-008,HAMILTON,2/21/1993,,TRAPPED/ENTANGLED,NR/DIED,,
RSHA,,,58-93-009,,3/2/1993,3/2/1993,GUNSHOT,EUTHANIZED,,
GHOW,,,59-93-010,,3/10/1993,4/4/1993,S COLLISION,EUTHANIZED,,
GHOW,,,60-93-011,,3/14/1993,9/30/1995,ORPHANED,RELEASED,,
BAEA,,,61-93-012,,3/15/1993,4/11/1993,ORPHANED,RELEASED,,
BAEA,,,62-93-013,,3/15/1993,4/11/1993,ORPHANED,RELEASED,,
BDOW,,,63-93-014,STEWART,3/26/1993,8/4/2003,S COLLISION,NR/DIED,,
EASO,,,64-93-015,,4/9/1993,4/19/1993,HBC,NR/DIED,,
BAEA,,,65-93-016,,4/9/1993,5/4/1993,ORPHANED,RELEASED,,
OSPR,,,66-93-017,,4/11/1993,4/25/1993,S COLLISION,EUTHANIZED,,
BWHA,,,67-93-018,,4/12/1993,4/12/1993,S COLLISION,EUTHANIZED,,
BDOW,,,68-93-019,,4/16/1993,4/18/1993,TRAPPED/ENTANGLED,EUTHANIZED,,
TUVU,,,69-93-020,,4/18/1993,3/9/1997,S COLLISION,NR/EUTHANIZED,,
BAEA,,,70-93-021,,4/23/1993,2/9/1995,UNKNOWN,RELEASED,,
EASO,,,71-93-022,,4/24/1993,9/9/1997,,NR/EUTHANIZED,,
BAEA,,,72-93-023,,4/29/1993,10/3/1993,ORPHANED,EUTHANIZED,,
BDOW,,,73-93-024,,5/1/1993,9/11/1993,UNKNOWN,RELEASED,,
EASO,,,74-93-025,,5/1/1993,4/20/1994,S COLLISION,RELEASED,,
EASO,,,75-93-026,,5/20/1993,8/7/1993,ORPHANED,RELEASED,,
EASO,,,76-93-027,,5/20/1993,7/9/1993,ORPHANED,RELEASED,,
EASO,,,77-93-028,,5/20/1993,8/27/1994,ORPHANED,RELEASED,,
GHOW,,,78-93-029,SUDO - DVM,5/22/1993,7/13/1997,UNKNOWN,TRANSFERRED OUT,,
BDOW,,,79-93-030,SUDO - DVM,5/22/1993,,HBC,TRANSFERRED,,
EASO,,,80-93-031,,5/26/1993,11/26/1994,ORPHANED,RELEASED,,
OSPR,,,81-93-032,,5/28/1993,7/4/1994,UNKNOWN,EUTHANIZED,,
BAEA,,,82-93-033,SCDNR,5/28/1993,,ORPHANED,TRANSFERRED,FX -,
EASO,,,83-93-034,,5/28/1993,8/5/1993,ORPHANED,RELEASED,,
EASO,,,84-93-035,,5/28/1993,8/5/1993,ORPHANED,RELEASED,,
EASO,,,85-93-036,,6/8/1993,10/9/1993,ORPHANED,RELEASED,TRAUMA - OU,
GHOW,,,86-93-037,,6/8/1993,10/10/1993,ORPHANED,RELEASED,,
GHOW,,,87-93-038,,6/8/1993,2/1/1995,ORPHANED,RELEASED,,
BNOW,,,88-93-039,,6/15/1993,8/5/1993,ORPHANED,RELEASED,,
EASO,,,88-93-040,,6/15/1993,7/14/1993,ORPHANED,RELEASED,,
RTHA,,,90-93-041,,6/15/1993,11/24/1994,EMACIATION,RELEASED,,
EASO,,,91-93-042,,6/23/1993,8/27/1994,ORPHANED,RELEASED,,
GHOW,,,92-93-043,,6/26/1993,4/9/2008,TRAPPED/ENTANGLED,NR/EUTHANIZED,,
BNOW,,,93-93-044,,7/12/1993,7/14/1993,EMACIATION,DIED,,
EASO,,,94-93-045,POTTER,7/19/1993,11/25/2002,HBC,NR/DIED,,
OSPR,,,95-93-046,,7/22/1993,7/23/1993,ORPHANED,RELEASED,,
BNOW,,,96-93-047,,7/24/1993,10/30/1997,S COLLISION,NR/EUTHANIZED,,
RTHA,,,97-93-048,,7/24/1993,2/22/1995,S COLLISION,RELEASED,,
EASO,,,98-93-049,,8/4/1993,8/6/1993,TRAPPED/ENTANGLED,DIED,,
OSPR,,,99-93-050,,8/4/1993,8/6/1993,UNKNOWN,DIED,,
TUVU,,,100-93-051,,8/5/1993,8/5/1993,EMACIATION,DIED,,
RSHA,,,101-93-052,,8/10/1993,8/10/1993,S COLLISION,EUTHANIZED,,
OSPR,,,102-93-053,,8/19/1993,8/26/1993,S COLLISION,DIED,,
RTHA,,,103-93-054,,8/31/1993,10/28/1993,S COLLISION,EUTHANIZED,,
GHOW,,,104-93-055,,9/13/1993,9/16/1993,UNKNOWN,EUTHANIZED,,
RSHA,,,105-93-056,,9/22/1993,3/30/1996,GUNSHOT,NR/ESCAPED,,
MERL,,,106-93-057,,9/27/1993,9/28/1993,S COLLISION,DIED,TRAUMA - SPINAL/EMACIATED,
BWHA,,,107-93-058,,9/28/1993,9/29/1993,S COLLISION,DIED,EMACIATED,
BDOW,,,108-93-059,,10/4/1993,10/9/1993,COLLISION,DIED,,
BAEA,,,109-93-060,,10/6/1993,10/24/1993,UNKNOWN,RELEASED,,
BWHA,,,110-93-061,,10/17/1993,10/20/1993,HBC,DIED,,
RSHA,,,111-93-062,,10/18/1993,10/19/1993,HBC,DIED,,
BDOW,,,112-93-063,,10/26/1993,10/26/1993,HBC,EUTHANIZED,,
RTHA,,,113-93-064,,10/26/1993,7/10/1994,COLLISION,RELEASED,,
GHOW,,,114-93-065,,10/27/1993,10/27/1993,EMACIATION,DIED,,
BAEA,,,115-93-066,,10/29/1993,4/29/1994,S COLLISION,RELEASED,,
BDOW,,,116-93-067,,10/29/1993,11/3/1993,HBC,EUTHANIZED,,
EASO,,,117-93-068,,10/30/1993,5/28/1994,S HBC,RELEASED,,
SSHA,,,118-93-069,,11/1/1993,,COLLISION,TRANSFERRED,,
BDOW,,,119-93-070,,11/7/1993,11/7/1993,UNKNOWN,DIED,,
RSHA,,,120-93-071,,11/11/1993,6/25/1995,S COLLISION,RELEASED,,
BDOW,,,121-93-072,,11/13/1993,11/15/1993,S COLLISION,DIED,,
EASO,,,122-93-073,,11/14/1993,11/19/1993,HBC,DIED,,
EASO,,,123-93-074,TYRELL,11/17/1993,11/19/1993,SPP CONFLICT,DIED,,
SSHA,,,124-93-075,FRIDAY,11/20/1993,11/21/1993,COLLISION,DIED,,
RTHA,,,125-93-076,SCDNR,11/30/1993,3/7/1994,TRAPPED/ENTANGLED,RELEASED,,
RTHA,,,126-93-077,SCDNR,12/1/1993,12/10/1993,S COLLISION,DIED,,
RTHA,,,127-93-078,KNIGHT,12/7/1993,12/9/1993,HBC,EUTHANIZED,,
AMKE,,,128-93-079,AH,12/12/1993,12/22/1993,UNKNOWN,RELEASED,,
RTHA,,,129-93-080,SCDNR,12/14/1993,12/15/1993,TRAPPED/ENTANGLED,EUTHANIZED,,
COHA,,,130-93-081,MCCULLUM,12/15/1993,12/18/1993,COLLISION,RELEASED,,
EASO,,,131-93-082,WESTVACO,12/17/1993,12/21/1993,HBC,TRANSFERRED OUT,,
RTHA,,,132-93-083,WILLIAMSON,12/17/1993,12/18/1993,EMACIATION,DIED,,
RTHA,,,133-93-084,TUCKER,12/22/1993,1/6/1994,S COLLISION,DIED,,
RSHA,,,134-93-085,SCDNR,12/22/1993,2/6/1994,UNKNOWN,RELEASED,,
COHA,,,135-93-086,LEWIS,12/24/1993,9/13/1994,COLLISION,RELEASED,,
COHA,,,136-93-087,RATLEDGE,12/28/1993,12/29/1993,EMACIATION,DIED,,
RTHA,,,137-93-088,CLARK,12/29/1993,3/6/1994,TRAPPED/ENTANGLED,RELEASED,,
COHA,,,138-94-001,SCDNR,1/4/1994,3/25/1994,S COLLISION,EUTHANIZED,,
RSHA,,,139-94-002,AHNC,1/5/1994,1/6/1994,S COLLISION,EUTHANIZED,,
GHOW,,,140-94-003,SEASHOLE,1/6/1994,1/6/1994,TRAPPED/ENTANGLED,EUTHANIZED,,
BDOW,,,141-94-004,SCDNR,1/7/1994,10/23/1994,S HBC,RELEASED,,
RTHA,,,142-94-005,SUDO,1/8/1994,8/23/1994,S HBC,EUTHANIZED,,
RTHA,,,143-94-006,SCDNR,1/18/1994,11/24/1994,UNKNOWN,RELEASED,,
AMKE,,,144-94-007,LAKESIDE V,1/19/1994,7/10/1994,S COLLISION,RELEASED,,
RTHA,,,145-94-008,SCDNR,1/27/1994,10/23/1994,TRAPPED/ENTANGLED,RELEASED,,
RTHA,,,146-94-009,FITZGERALD,1/27/1994,8/19/1994,COLLISION,RELEASED,,
SSHA,,,147-94-010,PET VET,2/4/1994,3/5/1994,TRAPPED/ENTANGLED,RELEASED,,
GHOW,,,148-94-011,PACKARD,2/8/1994,6/25/1994,S HBC,RELEASED,,
AMKE,,,149-94-012,SHULER,2/9/1994,11/21/1994,S COLLISION,RELEASED,,
BAEA,,,150-94-013,SCDNR,2/9/1994,6/22/1998,ELECTRIC SHOCK,TRANSFERRED OUT,,
EASO,,,151-94-014,TINKA,2/19/1994,11/26/1994,HBC,RELEASED,,
GHOW,,,152-94-015,SCDNR,2/20/1994,11/20/1994,TRAPPED/ENTANGLED,RELEASED,,
AMKE,,,153-94-016,LAKESIDE VET,2/26/1994,11/1/1999,UNKNOWN,NR/EUTHANIZED,,
GHOW,,,154-94-017,BOWERS,3/23/1994,2/1/1995,ORPHANED,RELEASED,,
RTHA,,,155-94-018,SCDNR,4/2/1994,8/20/1995,GUNSHOT,RELEASED,,
EASO,,,156-94-019,ROBERTS,4/2/1994,4/5/1996,S COLLISION,RELEASED,,
TUVU,,,157-94-020,PET VET,4/18/1994,11/20/1994,S COLLISION,RELEASED,,
GHOW,,,158-94-021,SCDNR,4/19/1994,2/1/1995,ORPHANED,RELEASED,,
COHA,,,159-94-022,PFAFF,4/19/1994,4/19/1994,S COLLISION,EUTHANIZED,,
BDOW,,,160-94-023,PFAFF,4/19/1994,10/23/1994,S COLLISION,RELEASED,,
BDOW,,,161-94-024,SCDNR,4/21/1994,10/23/1994,ORPHANED,RELEASED,,
RTHA,,,162-94-025,USFWS,5/4/1994,2/1/1995,ORPHANED,RELEASED,,
RSHA,,,163-94-026,MOWELL,5/9/1994,5/11/1994,ORPHANED,DIED,,
EASO,,,164-94-027,T.HENTGES,5/11/1994,8/27/1994,ORPHANED,RELEASED,,
RTHA,,,165-94-028,SCDNR,5/17/1994,2/1/1995,ORPHANED,RELEASED,,
BAEA,,,166-94-029,SCDNR,5/22/1994,7/12/1994,COLLISION,EUTHANIZED,,
RSHA,,,167-94-030,ROACH,5/25/1994,11/26/1994,ORPHANED,RELEASED,,
EASO,,,168-94-031,COSTY,5/27/1994,8/27/1994,HBC,RELEASED,,
BDOW,,,169-94-032,NAEC,5/30/1994,5/30/1994,S HBC,EUTHANIZED,,
GHOW,,,170-94-033,DRAKE,6/4/1994,3/15/2005,S HBC,NR/EUTHANIZED,,
RSHA,,,171-94-034,WYNTL,6/7/1994,11/26/1994,S HBC,RELEASED,,
AMKE,,,172-94-035,NAEC,6/9/1994,6/10/1994,HBC,DIED,,
BDOW,,,173-94-036,SCDNR,6/10/1994,6/10/1994,S HBC,EUTHANIZED,,
BDOW,,,174-94-037,WATTS,6/12/1994,6/13/1994,S HBC,DIED,,
RTHA,,,175-94-038,AHVC,6/12/1994,6/13/1994,EMACIATION,DIED,,
EASO,,,176-94-039,AHVC,6/19/1994,8/27/1994,ORPHANED,RELEASED,,
OSPR,,,177-94-040,SCDNR,6/20/1994,6/26/1996,UNKNOWN,DIED,,
OSPR,,,178-94-041,SCDNR,6/23/1994,8/7/1994,ORPHANED,RELEASED,,
OSPR,,,179-94-042,SANTEE,6/23/1994,8/7/1994,ORPHANED,RELEASED,,
BDOW,,,180-94-043,AULL,7/4/1994,5/2/1997,S COLLISION,NR/RELEASED,,
OSPR,,,181-94-044,SCDNR,7/11/1994,7/15/1994,ORPHANED,DIED,,
GHOW,,,182-94-045,SCDNR,7/21/1994,11/17/1996,COLLISION,NR/DIED,,
GHOW,,,183-94-046,SCDNR,7/22/1994,8/7/1995,S HBC,RELEASED,,
EASO,,,184-94-047,STEEL,7/27/1994,8/27/1994,ORPHANED,RELEASED,,
RTHA,,,185-94-048,ASTERMO,8/11/1994,4/16/1995,S COLLISION,RELEASED,,
GHOW,,,186-94-049,NAEC,8/14/1994,8/15/1994,S COLLISION,EUTHANIZED,,
GHOW,,,187-94-050,SCDNR,8/15/1994,1/8/1995,UNKNOWN,RELEASED,,
MIKI,,,188-94-051,PET VET,8/29/1994,12/18/1995,ORPHANED,EUTHANIZED,,
EASO,,,189-94-052,SCDNR,8/29/1994,8/30/1994,S COLLISION,EUTHANIZED,,
GHOW,,,190-94-053,SCDNR,9/5/1994,9/21/1994,UNKNOWN,DIED,,
EASO,,,191-94-054,CARR,9/6/1994,11/26/1994,HBC,RELEASED,,
OSPR,,,192-94-055,USN,9/13/1994,3/27/1998,S COLLISION,TRANSFERRED/EUTHANIZED,,
RSHA,,,193-94-056,V.BROWN,10/6/1994,1/13/1996,GUNSHOT,RELEASED,,
EASO,,,194-94-057,PV,10/11/1994,11/1/1994,HBC,RELEASED,,
OSPR,,,195-94-058,KIAWAH,10/15/1994,10/16/1994,EMACIATION,DIED,,
RSHA,,,196-94-059,PET VET,10/24/1994,11/3/1994,HBC,EUTHANIZED,,
BDOW,,,197-94-060,HAEC,10/30/1994,11/12/1995,S COLLISION,RELEASED,,
BDOW,,,198-94-061,NAEC,10/30/1994,1/8/1995,HBC,RELEASED,,
EASO,,,199-94-062,NEIN,10/31/1994,11/12/1994,HBC,RELEASED,,
EASO,,,200-94-063,MCCORKILL,10/31/1994,11/1/1994,UNKNOWN,DIED,,
RTHA,,,201-94-064,LAKESIDE,11/4/1994,11/18/1994,GUNSHOT,DIED,,
SSHA,,,202-94-065,HYMAN,11/9/1994,11/12/1994,TRAPPED/ENTANGLED,RELEASED,,
GHOW,,,203-94-066,WHITTON,11/13/1994,11/20/1994,ORPHANED,EUTHANIZED,"FX - LUXATION, ELBOW, L",
OSPR,,,204-94-067,BROOKGREEN,11/17/1994,1/13/1996,ORPHANED,EUTHANIZED,,
GHOW,,,205-94-068,BROOKGREEN,11/17/1994,9/30/1995,TRANSFER IN/ORPHANED,RELEASED,,
GHOW,,,206-94-069,BROOKGREEN,11/17/1994,8/7/1995,TRANSFER IN/ORPHANED,RELEASED,,
TUVU,,,207-94-070,MCCORD,11/21/1994,11/21/1994,S HBC,EUTHANIZED,,
EASO,,,208-94-071,LENZ,11/23/1994,3/13/1996,HBC,EUTHANIZED,,
RTHA,,,209-94-072,FORD,11/26/1994,12/27/1994,S COLLISION,EUTHANIZED,,
COHA,,,210-94-073,MCGUIRE,11/30/1994,12/1/1994,S COLLISION,DIED,,
BDOW,,,211-94-074,SCDNR,11/30/1994,1/8/1995,HBC,RELEASED,,
BAEA,,,212-94-075,LAKESIDE,12/7/1994,12/16/1994,UNKNOWN,DIED,,
RTHA,,,213-94-076,AH,12/11/1994,12/11/1994,S COLLISION,EUTHANIZED,,
SSHA,,,214-94-077,NAEC,12/11/1994,12/16/1994,COLLISION,DIED,,
RTHA,,,215-94-078,MACRAE,12/11/1994,12/11/1994,HBC,DIED,,
COHA,,,216-94-079,SPCA,12/16/1994,11/14/1995,COLLISION,RELEASED,,
COHA,,,217-94-080,DALE,12/25/1994,12/27/1994,COLLISION,DIED,,
RTHA,,,218-95-001,AHVEC,1/25/1995,4/28/1995,HBC,RELEASED,,
BLVU,,,219-95-002,MULL,1/31/1995,3/31/1996,S COLLISION,RELEASED,,
RTHA,,,220-95-003,HENTGES,2/3/1995,9/17/1995,GUNSHOT,RELEASED,,
RTHA,,,221-95-004,ELLIOTT,2/13/1995,7/12/1995,UNKNOWN,RELEASED,,
BLVU,,,222-95-005,MULL,2/13/1995,3/22/1997,S COLLISION,EUTHANIZED,,
RSHA,,,223-95-006,PET VET,2/14/1995,2/18/1995,S COLLISION,DIED,,
TUVU,,,224-95-007,KOHL,2/17/1995,2/17/1995,S COLLISION,EUTHANIZED,,
RTHA,,,225-95-008,CTY AC,2/21/1995,8/20/1995,GUNSHOT,RELEASED,,
RTHA,,,226-95-009,GRUBB,2/23/1995,9/17/1995,GUNSHOT,RELEASED,,
RTHA,,,227-95-010,BURBAGE,2/24/1995,12/18/1995,S COLLISION,EUTHANIZED,,
RTHA,,,228-95-011,BISHOP,2/25/1995,2/26/1995,EMACIATION,DIED,,
RTHA,,,229-95-012,JOHNSON,2/25/1995,2/26/1995,EMACIATION,DIED,,
GHOW,,,230-95-013,CCSD,3/1/1995,8/7/1995,EMACIATION,RELEASED,,
BLVU,,,231-95-014,ADDISON,3/2/1995,3/7/2001,UNKNOWN,NR/EUTHANIZED,,
RSHA,,,232-95-015,INABINETT,3/3/1995,3/21/1995,S HBC,DIED,,
BAEA,,,233-95-016,SCDNR,3/17/1995,4/9/1995,SPP CONFLICT,DIED,,
GHOW,,,234-95-017,AH NC,3/20/1995,3/20/1995,ORPHANED,DIED,,
GHOW,,,235-95-018,SCDNR,3/23/1995,8/7/1995,ORPHANED,RELEASED,,
GHOW,,,236-95-019,STUHR,3/30/1995,4/16/1995,UNKNOWN,RELEASED,,
GHOW,,,237-95-020,BROOKGREEN,4/5/1995,5/28/1995,ORPHANED,RELEASED,,
GHOW,,,238-95-021,BROOKGREEN,4/5/1995,5/28/1995,ORPHANED,RELEASED,,
COHA,,,239-95-022,SCDNR,4/18/1995,4/22/1995,TRAPPED/ENTANGLED,RELEASED,,
EASO,,,240-95-023,BLAHA,4/26/1995,6/17/1995,ORPHANED,RELEASED,,
BAEA,,,241-95-024,SCDNR,4/28/1995,,S COLLISION,TRANSFERRED OUT,,
EASO,,,242-95-025,HOGAN,4/30/1995,6/4/1995,ORPHANED,RELEASED,,
EASO,,,243-95-026,BASKINS,4/30/1995,6/4/1995,ORPHANED,RELEASED,,
EASO,,,244-95-027,BASKINS,4/30/1995,6/4/1995,ORPHANED,RELEASED,,
EASO,,,245-95-028,BIEEP,5/8/1995,5/11/1995,HBC,DIED,,
RSHA,,,246-95-029,HOWE,5/15/1995,6/18/1995,ORPHANED,RELEASED,,
EASO,,,247-95-030,SIRISKY,5/16/1995,6/4/1995,ORPHANED,RELEASED,,
RSHA,,,248-95-031,BENFORD,5/16/1995,6/18/1995,ORPHANED,RELEASED,,
OSPR,,,249-95-032,SCDNR,5/17/1995,5/22/1995,S COLLISION,EUTHANIZED,,
RTHA,,,250-95-033,OREAR,5/19/1995,5/20/1995,ORPHANED/EMACIATION,DIED,,
BDOW,,,250-95-041,LISSADRELLO,6/9/1995,11/12/1995,S COLLISION,RELEASED,,
GHOW,,,251-95-034,COLLIER,5/22/1995,5/24/1995,S COLLISION,DIED,,
EASO,,,252-95-035,PATRICK,5/23/1995,9/17/1995,S COLLISION,RELEASED,,
EASO,,,253-95-036,KAPP,5/24/1995,9/17/1995,ORPHANED,RELEASED,,
BAEA,,,254-95-037,SCDNR,5/26/1995,6/14/1995,S COLLISION,RELEASED,,
RSHA,,,255-95-038,LAMMONDS,5/29/1995,6/18/1995,ORPHANED,RELEASED,,
BNOW,,,256-95-039,RICHARDS,6/4/1995,6/5/1995,ORPHANED,DIED,,
AMKE,,,257-95-040,UPDEGRAFF,6/6/1995,7/30/1995,S COLLISION,RELEASED,,
RTHA,,,259-95-042,SCDNR,6/9/1995,8/20/1995,TRAPPED/ENTANGLED,RELEASED,,
EASO,,,260-95-043,ATON,6/18/1995,11/12/1995,S COLLISION,RELEASED,,
EASO,,,261-95-044,CONRAD,6/22/1995,9/17/1995,ORPHANED,RELEASED,,
EASO,,,262-95-045,CONRAD,6/22/1995,9/17/1995,ORPHANED,RELEASED,,
GHOW,,,263-95-046,SEABROOK,6/22/1995,6/23/1995,ORPHANED/EMACIATION,DIED,,
RTHA,,,264-95-047,SCDNR,6/23/1995,8/20/1995,ORPHANED/EMACIATION,RELEASED,,
RTHA,,,265-95-048,RIVENBARK,6/26/1995,8/11/1995,S COLLISION,EUTHANIZED,,
BDOW,,,266-95-049,USAF,6/28/1995,6/30/1995,HBC,DIED,,
RTHA,,,267-95-050,HAMLET,6/30/1995,7/1/1995,EMACIATION,DIED,,
GHOW,,,268-95-051,"PFAFF, DVM",7/11/1995,8/2/1995,TRANSFER IN,RELEASED,,
BNOW,,,269-95-052,SCDNR,7/18/1995,,S COLLISION,NR/EUTHANIZED,,
RTHA,,,270-95-053,NC AC,7/27/1995,7/29/1995,HBC,DIED,,
BWHA,,,271-95-054,JONES,7/27/1995,7/28/1995,HBC,DIED,,
RTHA,,,272-95-055,"PFAFF, DVM",8/4/1995,9/2/1997,TRANSFER IN,NR/EUTHANIZED,,
OSPR,,,273-95-056,BECK,8/14/1995,10/18/1995,S COLLISION,EUTHANIZED,,
RTHA,,,274-95-057,RUSSELL,8/18/1995,8/26/1995,EMACIATION,DIED,,
RTHA,,,275-95-059,COATES,8/27/1995,8/27/1995,UNKNOWN,EUTHANIZED,,
BDOW,,,276-95-060,AHVEC,8/28/1995,8/25/1996,HBC,RELEASED,,
RTHA,,,277-95-061,BROWN,8/28/1995,8/29/1995,TRAPPED/ENTANGLED,DIED,,
EASO,,,278-95-062,HENTGES,9/1/1995,10/25/1995,S COLLISION,RELEASED,,
OSPR,,,279-95-063,SCDNR,9/12/1995,5/14/1996,S COLLISION,DIED,,
EASO,,,280-95-064,KIRKLAND,9/20/1995,11/12/1995,COLLISION,RELEASED,,
MERL,,,281-95-065,BENNETT,9/24/1995,7/8/2000,S HBC,NR/DIED,,
BDOW,,,282-95-066,SCDNR,9/30/1995,10/1/1995,S COLLISION,DIED,"FX - LUXATION, SHOULDER, R",
COHA,,,283-95-067,PET VET,10/1/1995,10/2/1995,HBC,DIED,,
AMKE,,,284-95-068,AUSTIN,10/5/1995,10/6/1995,S COLLISION,DIED,,
GHOW,,,285-95-069,MOORE,10/6/1995,10/9/1995,TRAPPED/ENTANGLED,DIED,,
EASO,,,286-95-070,ELLIS,10/8/1995,10/10/1995,S HBC,DIED,,
BDOW,,,287-95-071,MCBRIDE,10/12/1995,7/7/1997,HBC,EUTHANIZED,,
OSPR,,,288-95-072,EARNSHAW,10/21/1995,10/22/1995,EMACIATION,DIED,EMACIATED,
OSPR,,,289-95-073,MCMANUS,10/29/1995,10/30/1995,EMACIATION,DIED,EMACIATED,
COHA,,,290-95-074,SCDNR,10/30/1995,10/31/1995,EMACIATION,DIED,,
EASO,,,291-95-075,PET VET,10/30/1995,11/2/1995,COLLISION,DIED,FX - WING/EMACIATED,
RSHA,,,292-95-076,AHVEC,10/31/1995,11/22/1995,EMACIATION,EUTHANIZED,,
EASO,,,293-95-077,STEVENS,11/6/1995,11/7/1995,HBC,DIED,,
GHOW,,,294-95-078,HAUSCHILD,11/10/1995,11/13/1995,S COLLISION,DIED,,
EASO,,,295-95-079,GASS,11/11/1995,11/12/1995,HBC,DIED,,
BDOW,,,296-95-080,ARK VET,11/14/1995,11/15/1995,S COLLISION,DIED,,
