species_abv,species_family,species_genus,species_species,species_common_name,date_admitted,patients_lat_found,patients_lng_found,exams_weight_g,exams_bcs,life_stage,exams_head,exams_musculoskeletal,exams_integument,exams_body,exams_forelimb,exams_hindlimb,exams_head_finding,exams_forelimb_finding,exams_hindlimb_finding,exams_treatment,exams_nutrition,exams_comments,,,,,,,,patients_reasons_for_admission,patients_diagnosis,patients_reference_number,patients_keywords,patients_disposition,patients_reason_for_disposition
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,33.460024,-79.573357,509.00,Emaciated,Adult,,,Heavy external parasite load,,Severe left wing trauma: Left humerus fracture; multiple proximal compound; old bone dry and necrotic; distal fracture closed at elbow,,No significant findings,Abnormal,Not examined,Euthanized under ISO,,Emaciated,,,,,,,,Suspect collision,Left humerus fracture; non repairable,8152-18-041,,Euthanized in 24hr,non repairable
COLO,Gaviidae,Gavia,immer,Common Loon,1/22/2018,32.200936,-80.691745,3119.00,Thin,Adult,Blood in the glottis,Metacarpal bone exposed. Right femur fracture at hip joint.,,"Right hip dorsal; old tissue wound, necrotic.",Old metacarpal injury,,Abnormal,Abnormal,Not examined,Euthanized under ISO,,Wounds too large and too old to treat. Suspect systemic.,,,,,,,,Stranded on beach. Injury to the right wrist. Wound on the bird's back.,Fatal laceration and non repairable fracture,1455-18-026,S. collision,Euthanized in 24hr,Fatal laceration and non repairable fracture
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,,,797.00,Good,Adult,Left eye trauma,,,,"minor abrasion, right wrist ventral",,Abnormal,Abnormal,No significant findings,SQ fluids,,"Good prognosis, Keel score 3",,,,,,,,Unable to fly. Would not leave side of the road. Presenter was able to pick up,Head and eye trauma,8153-18-042,"Nancy Owen, Tom Murphy, Nora Futrell",Pending,
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,,,628.00,Good,Adult,"Severe right eye trauma, minor left eye trauma. Right ear bruising. Blood observed in mouth",Right proximal femur fracture with significant contraction; not a good surgical candidate,,,,,Abnormal,No significant findings,Not examined,"Radiology, Euthanized under ISO",,,,,,,,,,Suspected collision. Able to pick up off the side of the road.,Fatal femur fracture; not a good surgical candidate,8154-18-043,Head trauma,Euthanized in 24hr,Not a good surgical candidate
BADO,Strigidae,Strix,varia,Barred Owl,1/22/2018,33.695036,-80.234742,692.00,Good,Adult,Significant amount of blood in mouth. Severe OD trauma. Minor OS trauma.,Ulna left transverse fx with distal segment split almost to the wrist. Severe right coracoid fracture.,,,,,Abnormal,Not examined,Not examined,Euthanized under ISO,,non operable,,,,,,,,Suspected collision,Non operable bone fractures. Fatal head trauma and bleeding.,8155-18-044,,Euthanized in 24hr,non operable bone fractures
COLO,Gaviidae,Gavia,immer,Common Loon,1/23/2018,33.437632,-79.126443,4325.00,,Adult,,,,,,,Not examined,Not examined,Not examined,"Under ISO @ 2-5 % for 15 min.  RAD: ingested foreign object, lead high, begin Ca EDTA Tx BID x 5 days, LRS 120 cc SQ scapula, Vt B 0.4 cc SQ fluids, Ca EDTA 1.1 cc SQ fluids",,very lethargic--poor prognosis,,,,,,,,stranded,"Ingestion of foreign object, lead",1456-18-027,,Died +24hr,Died in care
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/18/2018,33.651198,-78.930625,1730.00,Reasonable,Adult,frostbite in middle of pouch; severe but not open,,,,Edema to both wrists. No droop noticed,Frostbite on both feet,Abnormal,Abnormal,Abnormal,"TX: under ISO @ 2% for 30 mins. Drained both wrists with 18G needle, will monitor for return. Feet cleaned with novasan; dried off; applied medihoney and telfa. LRS 120cc PO. Vit B Complex 0.50cc PO fluids. Metacam 5cc PO, LRS 35cc IV. Amikacin 1.25cc IV fluids.",,Telfa pads came off. Regurgitated 2 mullet from ARK Animal Hospital and re-ate.,,,,,,,,"found on beach unable to fly, frost bite",Severe frostbite,1454-18-025,"Frostbite, Cold laser therapy",Euthanized +24hr,"Pouch continues to worsen; rotten, necrotic."
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/17/2018,,,3023.00,Thin,Juvenile,,,,,"Left wrist stiffness, luxation at joint. Right wing edema; severe frostbite.",Progressive frostbite on all feet and webbing; irreparable,Not examined,Abnormal,Abnormal,Elect euthanasia under ISO mask,,Keel score: 2. Standing; no droop noted or observed. irreparable frostbite injuries.,,,,,,,,"edema R wing, severe frost bite",Severe and irreparable wounds related to frostbite,1453-18-024,"Frostbite, MPI, MRI, MRL",Euthanized in 24hr,Frostbite damage irreparable
NOCA,Cardinalidae,Cardinalis,cardinalis,Northern Cardinal,1/4/2018,32.918632,-79.706001,41.00,Reasonable,Adult,,,feathers in excellent condition,body in excellent condition,Right wing coracoid fracture,,Not examined,Abnormal,Not examined,"TX: under ISO 3% for 20 mins. RAD confirmed Right coracoid fracture. Elected body wrap supporting Right wing to body. Metacam 0.02 ml IM (high), LR 1ml SQ scaps. Added small H20 bowl and bowl of seeds to kennel.",,"BAR, Keel score: 3. standing, can run around. Flaps both wings, but unable to fly. Excellent body and feather condition",,,,,,,,"found hopping around on snow, unable to fly",Right wing fracture,1432-18-003,Songbird,Died +24hr,Found dead in enclosure
BADO,Strigidae,Strix,varia,Barred Owl,1/16/2018,32.812947,-80.096859,,,,,,,,,,,,,,,,,,,,,,,"hit by car, fx wing","Left wing trauma, compound humerus fx, distal @ elbow, irreparable",8144-18-033,S. collision,Euthanized in 24hr,Irreparable fractures to left wing
BADO,Strigidae,Strix,varia,Barred Owl,1/15/2018,33.107796,-80.861621,559.00,,Adult,"OD trauma, R ear bruised, closing eye, stressed and painful, blood in mouth",,,,,,Abnormal,No significant findings,No significant findings,"LRS 35 cc SQ L leg, Vit B 0.1 cc SQ fluids, Metacam 0.12 cc IM",,Keel 2+,,,,,,,,head trauma,Head/OD trauma,8143-18-032,head trauma,Died +24hr,"Died in care, head trauma"
LAGU,Laridae,Leucophaeus,atricilla,Laughing Gull,1/5/2018,32.833591,-80.052073,235.00,Thin,Juvenile,pale MM,,,,,"Feet caked w/dirt + feces, a few very superficial sores, plantar surface--good circulation and temperature",Abnormal,Not examined,Abnormal,"5 c/u smelt to dish, LRS 12 cc SQ R scapula, Vt B 0.03 cc SQ fluids, iron 0.03 cc IM L chest, once",,NAI,,,,,,,,very thin juvenile,Environmental stranding,1436-18-007,environmental stranding,Died +24hr,Died in care
TUVU,Cathartidae,Cathartes,aura,Turkey Vulture,1/2/2018,,,,,Juvenile,,,,,,,Not examined,Not examined,Not examined,,,,,,,,,,,"found on road, unable to fly",,8112-18-001,,Died +24hr,Deceased in kennel
BRPE,Pelecanidae,Pelecanus,occidentalis,Brown Pelican,1/16/2018,32.703877,-80.248852,3396.00,,Juvenile,,Standing,,,"Luxated L elbow, irreparable, frost bite L wing @ wrist, severe, cold to touch","Old frost bite on feet, looks good",Not examined,Abnormal,Abnormal,Elect euthanasia under Isoflurane mask.,,"Luxated L elbow, irreparable",,,,,,,,frost bite,"Frostbite, luxated L elbow",1452-18-023,"frost bite, luxated elbow",Euthanized in 24hr,Irreparable fracture
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/21/2018,32.808199,-79.853492,101.00,,Adult,,,,,"R wing trauma, missing skin, tissue  muscle distal radius/ulna area, lateral; exposed bone and tendons; irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO,,Irreparable damage to R wing,,,,,,,,attacked by dogs,R wing trauma,8151-18-040,,Euthanized in 24hr,Irreparable damage to R wing
,Accipitridae,Circus,Hudsonius,Northern Harrier,1/19/2018,33.494857,-81.200981,417.00,Good,Juvenile,Visual OU,,Good feather condition,Good BCS,fx R ulna + radius @ wrist,,No significant findings,Abnormal,Not examined,"TX: Under ISO @ 3% for 20 min. RAD: confirmed the above, confirmed gunshot, one near shoulder, fragments @ fx site,  figure 8 wrap applied R wing + paper tape bandage, LRS 35 ml SQ L leg, Vit B complex 0.10 ml SQ pocket, Metacam 0.16 ml IM (high), Iron 0.05 ml IM, Tramadol 0.18 ml PO",,"Radius well aligned, ulna is comminuted, both wrists joints look good, will consult with JB on Sx options",,,,,,,,gunshot,"fx R ulna + radius, gunshot",8145-18-034,gunshot,Euthanized +24hr,Irreparable fracture
BADO,Strigidae,Strix,varia,Barred Owl,1/21/2018,33.344533,-79.38503,,,Adult,"Severe head/ OS trauma, OS deflating + covered with exudate, severe bleeding from nares",,,,L shoulder/proximal humerus luxation @ coracoid,,Abnormal,Abnormal,Not examined,Euthanized under ISO,,"Irreparable injuries to head, eye and L shoulder",,,,,,,,severe head trauma,"Severe head trauma, L shoulder/proximal humerus luxation @ coracoid",8150-18-039,,Euthanized in 24hr,Irreparable eye injury and L shoulder fracture
RSHA,Accipitridae,Buteo,lineatus,Red-shouldered Hawk,1/28/2018,32.959777,-80.169047,484.00,,Adult,,,,Keel 2,"Severe L wing trauma, old L humerus fx, compound, distal @ elbow; exposed bone dry + becoming necrotic, irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO,,irreparable fracture,,,,,,,,fx wing,S. collision,8167-18-056,,Euthanized in 24hr,compound humeral fracture
RTHA,Accipitridae,Buteo,jamaicensis,Red-tailed Hawk,1/27/2018,,,,Good,Adult,,,,,"R wing doesn't feel right, couldn't feel anything obvious, R wing droop",,Not examined,Abnormal,Not examined,"Will get RAD later if food is digested, put in kennel with perch",,,,,,,,,,"fx wing, hit by car",S. collision,8166-18-055,"S. collision, electric shock",Euthanized in 24hr,proximal humeral fracture
COHA,Accipitridae,Accipiter,cooperii,Cooper's Hawk,1/27/2018,31.291636,-82.248638,527.00,,Juvenile,,unable to stand,,,,,Not examined,Not examined,Not examined,"bird in kennel upside down, wiped vent clean, bird responsive to touch, feet were completely wrapped, removed wraps, fell over when put back in kennel, switched direction of towel roll, FF 1 sk c/u ck w/Rx 0.3 Metacam, Vt, Ca++, 1 sk c/u sk to kennel",,,,,,,,,,"not using legs, unable to stand",Spinal fx,8165-18-054,spinal fracture,Euthanized in 24hr,spinal fracture
BADO,Strigidae,Strix,varia,Barred Owl,1/5/2018,33.836081,-81.163725,544.00,Reasonable,Juvenile,"OD trauma; synychea, minor, OS visual; no trauma",,Mites,Standing,no palpable fx,,Abnormal,No significant findings,Not examined,"LRS 35 ml SQ R leg, Vit B 0.10 cc SQ fluid, Metacam 0.22 IM, Flurbiprofen + BNP OD, sprayed w/Adams, Iron 0.05 ml IM",,CCR - N,,,,,,,,eye trauma,S. collision,8115-18-004,"head trauma, eye trauma",Released,fit for release
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/6/2018,,,119.39,Reasonable,Adult,"slight dilation OS, visual OD",,,Excellent body condition,,,Abnormal,Not examined,Not examined,"BNP OS, LRS 5 ml SQ R leg, Vit B comp 0.05 ml SQ fluids",,Treated initially at Georgia Sea Turtle Rescue,,,,,,,,"? eye injury, collision",Old head trauma,8118-18-007,head trauma,Released,fit for release
DCCO,Phalacrocoracidae,Phalacrocorax,auritus,Double-crested Cormorant,1/25/2018,,,,,Adult,,,,,,"loss of function to R leg/foot due to constriction and luxation @ hock joint, skin and tissue damage on tarsus + hock joint",Not examined,Not examined,Abnormal,"Irreparable trauma, euthanized under ISO",,,,,,,,,,"bird entangled, hanging from tree by one leg",Constriction and luxation @ hock joint,1457-18-028,,Euthanized in 24hr,irreparable hock luxation
BADO,Strigidae,Strix,varia,Barred Owl,1/26/2018,33.048138,-80.438762,806.00,,Adult,,,,,"L wing, compound fx @ wrist, comminuted",,Not examined,Abnormal,Not examined,Euthanized under ISO,,,,,,,,,,hit by car,"L wing, compound fx @ wrist, comminuted",8163-18-052,S. collision,Euthanized in 24hr,compound carpal fx
BADO,Strigidae,Strix,varia,Barred Owl,1/11/2018,33.395314,-80.514012,,,,,,,,,,,,,,,,,,,,,,,hit by car,,8138-18-027,,Released,fit for release
BUFF,Anatidae,Bucephala,albeola,Bufflehead,1/26/2018,33.515609,-79.059779,,,,,,,,,,,,,,,,,,,,,,,"? gunshot, compound fx L",,1458-18-029,,Euthanized in 24hr,left compound humeral fracture
TUVU,Cathartidae,Cathartes,aura,Turkey Vulture,1/26/2018,33.904073,-78.611954,1676.00,Emaciated,Juvenile,,,,,"R wing, fx of radius & ulna; old & calcified, L wing; elbow joint stiff; unable to achieve rotation, Lead test--18",,Not examined,Abnormal,Not examined,Euthanized on arrival,,"RAD: PM, VD, no evidence of gunshot, confirmed fractures",,,,,,,,hopping around on ground for weeks,"Multiple fx, lead toxicity",8162-18-051,lead toxicity,Euthanized in 24hr,old calloused fractures
COHA,Accipitridae,Accipiter,cooperii,Cooper's Hawk,1/20/2018,,,528.00,Good,Juvenile,Visual OU,Unable to stand,Excellent feather condition,Excellent body condition,,"Uses legs well, can pull them up + clench talons",No significant findings,Not examined,No significant findings,"LRS 20 ml SQ R leg, Vit B comp 005 ml SQ fluid, Metacam 0.21 ml IM (high), placed tail wrap on bird",,RAD when stable,,,,,,,,unable to fly or stand,"Unable to stand, NSF",8148-18-037,S. collision,Died +24hr,Deceased in Kennel
COLO,Gaviidae,Gavia,immer,Common Loon,1/25/2018,33.475935,-79.091982,,,,,,,,,,,,,,,,,,,,,,,unable to fly,,1465-18-027,,Died +24hr,Died prior to surgery
COHA,Accipitridae,Accipiter,cooperii,Cooper's Hawk,1/25/2018,32.788683,-80.006197,337.00,Reasonable,Adult,,,,,"Severe R wing trauma, radius & ulna compound fxs, multiple, radius fx, distal, compound, ulna, fxs multiple, compound, proximal, distal @ wrist w/wrist trauma, luxation of carpal bones--irreparable",,Not examined,Abnormal,Not examined,Euthanized under ISO,,,,,,,,,,"on ground, unable to fly, fx wing",Multiple R wing fractures--irreparable,8161-18-050,,Euthanized in 24hr,compound fractures
EASO,Strigidae,Megascops,asio,Eastern Screech Owl,1/8/2018,32.785292,-80.042998,101.00,Thin,Adult,,,,,flighted,"poss. L leg trauma, L foot swollen, bruising on plantar surface, poss fx TBT",No significant findings,No significant findings,Abnormal,"Rad when stable, LRS 5 cc SQ L leg, Vit B 0.02cc SQ fluids, Metacam 0.02 cc IM",,,,,,,,,,Left leg trauma,"Confirmed TBT fx distal, feels stable, old",8121-18=010,,Released,fit for release.
